"Timestamp","Total score","In a paragraph, explain how Buddhism and Confucianism influenced the development of Chinese governments in the period from 1200 to 1450. ","In a paragraph, explain how Buddhism and Confucianism influenced the development of Chinese governments in the period from 1200 to 1450.  [Score]","In a paragraph, explain how Buddhism and Confucianism influenced the development of Chinese governments in the period from 1200 to 1450.  [Feedback]","In three paragraphs, explain how developments in China and other parts of East Asia between c 1200 and c. 1450 reflect continuity, innovation, and diversity. ","In three paragraphs, explain how developments in China and other parts of East Asia between c 1200 and c. 1450 reflect continuity, innovation, and diversity.  [Score]","In three paragraphs, explain how developments in China and other parts of East Asia between c 1200 and c. 1450 reflect continuity, innovation, and diversity.  [Feedback]"
"2021/09/01 1:23:59 PM AST","0.00 / 100"," Buddhists seek to achieve enlightenment through meditation, spiritual learning, and practice. As Buddhism became more prevalent, its concepts merged with Taoist and Confucian ideas to become the basis of ancient Chinese society and government. Its influence is seen in Chinese art, architecture, and literature.","-- / 40","","The Yuan Dynasty in China was established by Mongols and ended the rule of Song dynasty, Liao dynasty and Jin dynasty. The political institution was not a continuity of previous regimes, since it had to rule people with diverse cultural and social heritage. The Mongol Empire invented a new ideology, which influences China to this day, for unification under the Mongol ruler. The Mongol ruler appeared to inner Asia as Khan (elected by tribal nobles), to south Song as emperor, and to Tibet as patron and protector of Buddhism (called patron-priest relationship by Tibetans). These multiple roles were based on the culture of each region and were not new inventions. However, previously these were incompatible cultures, and the ruler should not be the same person. In particular, Han Chinese used to see themselves as culturally superior to Mongols and should not be ruled by barbarians. The new invention created a new concept of unified China that was greater than any previous regime in China , and was inherited by Qing dynasty, which formed the basis of the territory of contemporary China.

The ruler serving multiple roles for different people was not new in world history. Parthian Empire which was contemporary with Han dynasty already created such institutions. When Deng Xiaoping proposed “one country, two systems”, he may not be aware of such historical precedents.

It should be noted that though the Genealogy books of Chinese often claim ancestry to more than a thousand years, in reality they have individual names only after 1300s. So there is probably little continuity in terms of genetics; i.e. few Chinese alive today would have the genes of Han or Tang people.","-- / 60",""
"2021/09/01 2:40:40 PM AST","0.00 / 100","Buddhism and Confucianism was heavily influenced in the way the people and the government of China. The separation of class and the way people lived was influenced by it. It was the way the citizens were subject to rulers, women were subject to their husbands, and children subject to their fathers. Buddhism allowed for greater egalitarianism. However during most of the Sui, Tang, and Song Dynasties it was sought to enforce Neo-Confucianism, a revived and renewed focus on Confucianism. They believed Confucianism was tainted with Buddhism and Daoism and destroyed many Buddhist temples, memorials, etc. ","-- / 40","","Developments in China and other parts of East Asia reflect continuity, innovation, and diversity in many eras. During the Sui Dynasty they had united all of the Han peoples in China creating a centralized administration. Even creating a Confucian examination system. The Sui established a lasting state system by planting the seeds of an imperial Confucian examination system to fill bureaucratic positions by merit.
During the Tang Dynasty they ushered a period of cultural and territorial growth. Their territory expanded all the way until the east of Korea until they were abruptly stopped. Exceeding the maximum amount of territory China ever conquered. However, the Tang Dynasty fell due to the An Lushan Rebellion. Lack of seriousness in the intellectual culture caused the downfall of the Tang.
Later on in the Song Dynasty, they continued the Chinese imperial golden age with art, literature, and architecture. Neo-Confucian belief systems were also still in practice. The Song endorsed commercial practices focused on merchant exchanges and trade. They also were the first to establish and maintain a standing navy. However, they struggled to maintain integrity of their borders further leading to their downfall.","-- / 60",""
"2021/09/01 5:09:45 PM AST","0.00 / 100","Buddhism and Confucianism influenced the development of Chinese governments in the period from 1200 to 1450 because Confucians in China began to accept Buddhist teachings, which caused the combination of different religions to be conceived. Soon Buddhism became more important and noticed. Since this happened, their concepts merged with Confucianism to become the basis of Chinese government. Some of their influences are Chinese art, architecture, and literature.","-- / 40","","Developments in China and other parts of East Asia between c 1200 and c. 1450 reflect continuity, innovation, and diversity because the Yuan dynasty in China had been established by Mongols and then ended the rule of Song dynasty. The institution was not a progression of previous government, since it had to rule people with diverse cultural and social heritage. The Mongol emperor had invented something new, and that still influence China today. For example, things made there were gunpowder, which is used today still as a weapon like grenades. They are also used for show such as fireworks.

Another way how developments in China and other parts of East Asia between c 1200 and c. 1450 reflect continuity, innovation, and diversity is how men of lower class were starting to get offers for jobs. China did other useful things such as promote trade. The way they promoted trade was that the Song Dynasty had been the first to issue state money. With this, it helped encourage and promote trading among people. Another thing was how a tribute system was made. This was a requirement for trade, as well as annual tributes for neighboring states.

Soon China started to become more innovative. China started to build roads and canals. With these, trading was much easier to do. Next thing was technology being introduced. Inventions like the Champa rice was found. Champa rice was good because of how drought resistant it was. China also started to manufacture steel, and other products to reinforce trading. Eventually China started to become more diverse when they slowly started getting introduced to Buddhism and Daoism, and eventually created new religions such as Zen Buddhism and Neo-Confucianism.","-- / 60",""
"2021/09/01 8:24:16 PM AST","0.00 / 100","Two of China's three major faiths are Buddhism and Confucianism. Daoism is a significant Chinese religion that is practiced alongside Buddhism and Confucianism. Because their hearths are in Asia and they engage with each other through trade and conquer, Hinduism is often mixed with Buddhism or Confucianism.Because different religions are frequently practiced alongside one another, it can be difficult to determine which traditions originated where. Ancestor worship and the belief in reincarnation are recurring themes throughout the novel. In addition, they have a tradition of emphasising home worship, as compared to other religions, which place a greater focus on communal worship.Because each of them concentrates on a different aspect of life, the religions in Asia typically share the theme of believing in and following numerous distinct faiths.","-- / 40","","Mongols built the Yuan dynasty (1279–1368) in China, destroying the reigns of the Song, Liao, and Jin dynasty. Because it had to rule people with varied cultural and social backgrounds, the political institution was not a continuation of earlier regimes. The Mongol Empire created a new ideology for unification under the Mongol rulers, which still impacts China today. Inner Asia saw the Mongol ruler as Khan south Song saw him as ruler, and Tibet saw him as patron and guardian of Buddhism. These different jobs were not fresh ideas and were based on the culture of each place. Previously, however, two civilizations were incompatible, and the rulers should not be the same person.

    Han Chinese, in particular, used to believe that they were culturally superior to Mongols and that they should not be dominated by barbarians. The new invention produced a new concept of unified China that was greater than any previous rule in China and it was inherited by the Qing dynasty, which formed the basis of modern-day China's territory. The concept of a monarch playing several roles for different people is not new in history. Such institutions had already been established by the Parthian Empire, which was contemporaneous with the Han dynasty. Deng Xiaoping may not have been aware of such historical antecedents when he suggested ""one country, two systems.

    Before 1200, there was diversity. Tang China was a fairly cosmopolitan society. Many religions thrived. In the court, people of many ethnicities served. In truth, a Central Asian general conducted a successful putsch and governed China as Emperor for nearly a year.Before 1200, there was diversity. Tang China was a fairly cosmopolitan society. Many religions thrived. In the court, people of many ethnicities served. In truth, a Central Asian general conducted a successful putsch and governed China as Emperor for nearly a year.
","-- / 60",""
"2021/09/02 4:57:24 PM AST","0.00 / 100","   As Buddhism became more prevalent their ideas sort of merged with Taoist and Confucian ideas to become the fundamentals of ancient Chinese society and government. Both Buddhism and Confucianism influenced Chinese art by helping share it with the rest of the world. They also influenced Chinese architecture for instance Buddhism helped introduce the term pagoda. It also helped produce well trained government officials. And lastly helped society by making a code of conduct so they will be organized.","-- / 40","","   Developments in China reflect continuity, innovation, and diversity in many ways. For instance, Chinese developments reflected continuity in the way that China became more innovative as roads and canals were improved upon and technology was introduced. Also, Inventions such as gunpowder and China's use of steel and other products to reinforce manufacturing and trade turned China into the most commercialized city. China became more diverse as it was introduced to Buddhism and Daoism. Developments in china helped introduce religions to China.
   Moreover, these developments helped reflect innovation into china in the form that more products were being built and more areas were being made. This helped China grow and helped its economy grow. It also provided more jobs which later led to people and workers having more money. These developments helped strengthen the nation. These developments helped made it easier for china to be more innovated.
   Finally, China became more diverse thanks to the developments being created. It helped introduce religions into China and other parts of east Asia such as Buddhism and Daoism. It also helped create new religions such as Zen Buddhism and Neo-Confucianism. With these new religions people could freely express how they feel and more opportunities were given to them. That is how developments in China and other parts of East Asia reflect continuity, innovation, and diversity.","-- / 60",""
"2021/09/02 5:25:51 PM AST","0.00 / 100","Buddhism and Confucianism was a very important part for the development of the Chinese government. The Song Dynasty government preferred native Chinese traditions like Confucianism however, they did not have a problem with Buddhism. The government actually agreed with some of the Buddhism believes and ideas like filial piety. Filial piety along with other Buddhism believes helped the emperor stay with power and their for, the emperor did not try to remove or ban Buddhism from the Song Dynasty. ","-- / 40","","Throughout the years that Chinese and other East Asian empires ruled we could see developments reflected in continuity, innovation, and diversity. To begin, lets first start with the Song Dynasty's government, the imperial bureaucracy. The bureaucracy had been used since the Qin dynasty however, it was this government that helped the Song Dynasty maintain its stability, strength, and power. The imperial bureaucracy is an example of the continuity of the empire as it is a form of government that was used unbrokenly throughout the different Dynasties. 

To add on, we can see the Song Dynasty using innovations to create and expand its trades as well as its resources. The first gun was made in the Song Dynasty and the technology of the gun as well as gunpowder spread all over China and Eurasia because of the silk roads. We can also see more innovation when different types of rice that were better suited for dryer climates and ripened faster were massively produced in order to grow rice in areas where it was not possible before. Innovation also changed how agriculture originally worked. China started to use manure to enrich the soil, built irrigation systems to water the crops and overall increase productivity, and used different plows along with animals to help plant crops in tougher soil. The compass also added to the innovation of China, it would be used to better help people mostly sailors, find directions, meaning they wouldn't need to rely on the sky as much. 

Finally, the Song Dynasty had an Civil Service Exam. If a person scored well on the exam they would be able to obtain a job in the bureaucracy. This exam allowed for better educational opportunities for the lower classes. The exam represents diversity, as the empire allowed for a wider spectrum of people in different classes and families to participate. We can see more diversity occur when China's class system was changed. A new class known as the scholar gentry was added to the system, this class was of people with education in Confucian philosophy. This class changed how the class system worked thus giving more diversity and change to China and the empires as a whole.","-- / 60",""
"2021/09/02 5:47:19 PM AST","0.00 / 100","Buddhism and Confucianism influence the development of Chinese Government's in the 1200-1450 because of the Buddhism ideals. Since Buddhism still had a strong presence in china many Confucianism started adopting there ideals. By adopting their ideals they where able to keep rule because the Confucianism Ideals said you had to respect those on ""top"" of you so it allowed them to rule with little to no problem. ","-- / 40","","When the Song Dynasty declared power they where able to unify their territory. Coming along they promoted Economic growth. They also made the culture flourish and further improved many things like written text, Neo Confucianism, etc. They Created a period of stable times showing they were a good dynasty.

In the 13th centaury the Mongols invasion  made a new part of Chinese history because they  took many territories and more. Kublai Khan conquered China and unified all the territories. When he did this he started the Yuan Dynasty. With this new dynasty they where able to do more trades and have the first ever contact with the western world. Knowing new cultures allowed them to technologically advanced and it started new things.

After Song Dynasty was captured their where many new technologies being developed or improved. New Confucianism continued and was improved. While learning New cultures and being the first to be at the western world China took a big leap. In the Song And the Yuan Dynasty they had many allies like Japan and this continued to happen. China will soon change again but for now it was strong. ","-- / 60",""
"2021/09/02 6:03:23 PM AST","0.00 / 100","Confucianism was a way for them to put everyone in their place and level in society. They had a exam called the civil service exam, which shifted power from a hereditary to form a aristocracy to a new class of scholarly leaders. This meant that the government was highly organized, which allowed them to focus on creating new resources. However, due to all the trades Chinese were doing all over Asia. This later led to religion and cultural influences.  One of the most significant influences was Buddhism and new forms of Buddhism came from China trades routes. Now Buddhism is practices all over Asia. ","-- / 40","","China was spit into many different regional kingdoms and one of those ruler was Zhoa Kuangyin. He unified dynastic empire known as the Song Dynasty, which remained in China from 960-1279. The Song Dynasty known how to build a state structure that was divided into six departments: personnel, finance ,rites, army, justice, and public work. Confucianism was one of the things that helped organize the government. Confucianism was a way for China to put everyone in their place and level in society. One achievements of the Song government was the renewing and expansion of the civil service exam. The system was a way for them to select the most studious and learned candidates for appointment as bureaucrats in the Chinese government. A major part of the exam was the understanding in Confucian ideas. Now with a highly organized government, the Chinese could focus on their economy. Chinese traders participated heavily in the trade system across Asia. Which lead Chinese manufacturers to produce goods not just for the local but for all of Asia. As a result of this Chinese manufacturing grow during this period and China's iron production rivaled Europe's iron production. Due to the growth of the Chinese economy they needed to find a way to transform the role of money, which led to the introduction of paper money. Also, during this time, the Chinese invented a new technology called gunpowder. Gunpowder was first use as fireworks but eventually Song military found a way to better use gunpowder, leading the guns and other war weapons. ","-- / 60",""
"2021/09/02 6:15:55 PM AST","0.00 / 100","Buddhism influenced the Chinese with its architect. When Buddhism became more popular the Chinese government began to copy the Buddhism architect. When more and more people began to converge to Buddhism its combined with Confucianism and became the base of the Chinese government. You can see the affects in the Chinese architecture and the art.","-- / 40","","The first thing is that China began to offer opportunities towards men of the lower. This shows the diversity aspect that China started to develop in the 1200's. By giving jobs and opportunities to men with a lower class it is showing that China was starting to accept a more variety of people.

Next is that they improved upon their agricultural works. The Chinese began to discover more and more ways of harvesting crops faster. They were innovating there system of agriculture which then resulted in not only an increase of the countries food source but of the countries wealth as well. China also began to promote trade which allowed them to sell the abundance of crops they were yielding and become even more wealthy.

Finally, China also became more accepting of new religions. Especially when Buddhism started to become more and more popular through out China. This shows how China started to become more open minded and accepting no matter what the person believes in.","-- / 60",""
"2021/09/02 6:32:12 PM AST","0.00 / 100","The scholar gentry used their knowledge of Confucianism to influence China. The Confucian idea of respecting someone for their hard work shaped the social classes. Merchants were at the lowest ranked social class because they didn't have a difficult job. The world's first woodblock printed work was a Buddhist scripture. Buddhism's popularity caused a lot of people to learn differently compared to the typical way of studying scripture.","-- / 40","","China's meritocracy allowed a diverse group of people to have a job in the bureaucracy. Champa rice could grow in a variety of places. Women in Vietnam could be more independent than Chinese women.

Japan was a feudal society for hundreds of years. Korea adopted a lot of the culture and politics of China, because the two places were close for a long period of time. The Song dynasty's bureaucracy was used in past dynasties. Foot binding in the Song dynasty became more popular compared to past dynasties.

The Grand Canal made the Song dynasty a very popular trading area. The production of gunpowder led to China making the first guns. Iron and steel contributed to the advancement of agricultural tools and religious objects. Trade networks were expanded with sea navigation improvements. Woodblock printing allowed people to give art and written texts more efficiently. ","-- / 60",""
